PROJECT:,PADCAL,ENCODER:,ELRACELIS,DATE:,mm-dd-yyyy

PLOT #,Biomass Density (kg),Carbon Stored (mg ha^-1),CO2(mg ha^-1)
1,0.5659149688782147,0.25466173599519665,0.9337596986490543
2,1.1754921064545696,0.5289714479045565,1.9395619756500404
3,4.223833151897955,1.9007249183540798,6.969324700631623
4,3.629279333184573,1.6331756999330582,5.988310899754546
5,15.506539381387773,6.977942721624499,25.585789979289828
6,0.582957845362419,0.26233103041308853,0.9618804448479913
7,0.5801202308056216,0.2610541038625297,0.9571983808292756
8,3.9631755355370095,1.7834289909916539,6.539239633636066
9,0.0,0.0,0.0
10,0.025276479564594837,0.011374415804067676,0.041706191281581484
11,6.612778546721048,2.975750346024472,10.911084602089726
12,0.28040111604627393,0.12618050222082328,0.462661841476352
13,7.1058760776388485,3.1976442349374805,11.7246955281041
14,1.5678127950562282,0.7055157577753025,2.586891111842776
15,0.7711007614082633,0.3469953426337184,1.2723162563236345
16,0.18269818209859645,0.0822141819443684,0.30145200046268417
17,0.1756427190113494,0.07903922355510723,0.2898104863687265
18,6.9552561829312864,3.129865282319079,11.476172701836624
19,0.6195356624082671,0.27879104808372024,1.0222338429736408
20,0.5513995379561704,0.24812979208027658,0.909809237627681
21,0.7601559165142749,0.34207016243142374,1.2542572622485537
22,1.3568927268100321,0.6106017270645147,2.2388729992365533
23,0.2146220632203838,0.09657992844917272,0.3541264043136332
24,0.676411439271771,0.30438514767229713,1.1160788747984225
25,0.3645159784324642,0.16403219029460891,0.6014513644135658
26,0.09180059412636853,0.04131026735686584,0.15147098030850806
27,0.3280786834029793,0.14763540753134066,0.5413298276149158
28,0.188602345106101,0.08487105529774543,0.31119386942506655
29,0.9991747265871573,0.44962862696422096,1.6486382988688097
30,0.6242111819348144,0.2808950318706665,1.0299484501924439
31,7.0110122927358285,3.154955531731123,11.568170283014114
32,0.6947551773547331,0.3126398298096299,1.1463460426353098
33,0.3177406365065268,0.14298328642793703,0.5242720502357692
34,0.5004270654944276,0.2251921794724924,0.8257046580658056
35,0.25757835883534086,0.1159102614759034,0.4250042920783124
36,0.1440700523234723,0.06483152354556254,0.23771558633372936
37,1.0413141063902704,0.4685913478756216,1.7181682755439467
38,2.5478046924383624,1.146512111597263,4.203877742523298
39,0.3584125115639944,0.16128563020379746,0.5913806440805908
40,0.46145819003054267,0.2076561855137442,0.7614060135503955
41,0.5644946473960797,0.2540225913282359,0.9314161682035318
42,0.6606537810156635,0.29729420145704866,1.0900787386758453
43,0.053154330046071945,0.023919448520732377,0.08770464457601872
44,0.756664783689869,0.34049915266044106,1.2484968930882838
45,3.6961012920308445,1.6632455814138805,6.098567131850896
